Match Number,Round Number,Date,Location,Home Team,Home X,Home Y,Away Team,Away X,Away Y,Group,Result
1,1,20/11/2022 16:00,Al Bayt Stadium,Qatar,-374,235,Ecuador,-354,235,Group A,
2,1,21/11/2022 16:00,Al Thumama Stadium,Senegal,-374,213,Netherlands,-354,213,Group A,
18,2,25/11/2022 13:00,Al Thumama Stadium,Qatar,-374,192,Senegal,-354,192,Group A,
19,2,25/11/2022 16:00,Khalifa International Stadium,Netherlands,-374,170,Ecuador,-354,170,Group A,
35,3,29/11/2022 15:00,Khalifa International Stadium,Ecuador,-374,150,Senegal,-354,150,Group A,
36,3,29/11/2022 15:00,Al Bayt Stadium,Netherlands,-374,128,Qatar,-354,128,Group A,
3,1,21/11/2022 13:00,Khalifa International Stadium,England,-374,87,Iran,-354,87,Group B,
4,1,21/11/2022 19:00,Ahmad Bin Ali Stadium,Usa,-374,65,Wales,-354,65,Group B,
17,2,25/11/2022 10:00,Ahmad Bin Ali Stadium,Wales,-374,45,Iran,-354,45,Group B,
20,2,25/11/2022 19:00,Al Bayt Stadium,England,-374,23,Usa,-354,23,Group B,
33,3,29/11/2022 19:00,Ahmad Bin Ali Stadium,Wales,-374,1,England,-354,1,Group B,
34,3,29/11/2022 19:00,Al Thumama Stadium,Iran,-374,-20,Usa,-354,-20,Group B,
8,1,22/11/2022 10:00,Lusail Stadium,Argentina,-374,-62,Saudi Arabia,-354,-62,Group C,
7,1,22/11/2022 16:00,Stadium 974,Mexico,-374,-84,Poland,-354,-84,Group C,
22,2,26/11/2022 13:00,Education City Stadium,Poland,-374,-102,Saudi Arabia,-354,-102,Group C,
24,2,26/11/2022 19:00,Lusail Stadium,Argentina,-374,-125,Mexico,-354,-125,Group C,
39,3,30/11/2022 19:00,Stadium 974,Poland,-374,-147,Argentina,-354,-147,Group C,
40,3,30/11/2022 19:00,Lusail Stadium,Saudi Arabia,-374,-170,Mexico,-354,-170,Group C,
6,1,22/11/2022 13:00,Education City Stadium,Denmark,-374,-210,Tunisia,-354,-210,Group D,
5,1,22/11/2022 19:00,Al Janoub Stadium,France,-374,-232,Australia,-354,-232,Group D,
21,2,26/11/2022 10:00,Al Janoub Stadium,Tunisia,-374,-254,Australia,-354,-254,Group D,
23,2,26/11/2022 16:00,Stadium 974,France,-374,-274,Denmark,-354,-274,Group D,
37,3,30/11/2022 15:00,Al Janoub Stadium,Australia,-374,-296,Denmark,-354,-296,Group D,
38,3,30/11/2022 15:00,Education City Stadium,Tunisia,-374,-317,France,-354,-317,Group D,
11,1,23/11/2022 13:00,Khalifa International Stadium,Germany,350,235,Japan,370,235,Group E,
10,1,23/11/2022 16:00,Al Thumama Stadium,Spain,350,213,Costa Rica,370,213,Group E,
25,2,27/11/2022 10:00,Ahmad Bin Ali Stadium,Japan,350,192,Costa Rica,370,192,Group E,
28,2,27/11/2022 19:00,Al Bayt Stadium,Spain,350,170,Germany,370,170,Group E,
43,3,01/12/2022 19:00,Khalifa International Stadium,Japan,350,150,Spain,370,150,Group E,
44,3,01/12/2022 19:00,Al Bayt Stadium,Costa Rica,350,128,Germany,370,128,Group E,
12,1,23/11/2022 10:00,Al Bayt Stadium,Morocco,350,87,Croatia,370,87,Group F,
9,1,23/11/2022 19:00,Ahmad Bin Ali Stadium,Belgium,350,65,Canada,370,65,Group F,
26,2,27/11/2022 13:00,Al Thumama Stadium,Belgium,350,45,Morocco,370,45,Group F,
27,2,27/11/2022 16:00,Khalifa International Stadium,Croatia,350,23,Canada,370,23,Group F,
41,3,01/12/2022 15:00,Ahmad Bin Ali Stadium,Croatia,350,1,Belgium,370,1,Group F,
42,3,01/12/2022 15:00,Al Thumama Stadium,Canada,350,-20,Morocco,370,-20,Group F,
13,1,24/11/2022 10:00,Al Janoub Stadium,Switzerland,350,-62,Cameroon,370,-62,Group G,
16,1,24/11/2022 19:00,Lusail Stadium,Brazil,350,-84,Serbia,370,-84,Group G,
29,2,28/11/2022 10:00,Al Janoub Stadium,Cameroon,350,-102,Serbia,370,-102,Group G,
31,2,28/11/2022 16:00,Stadium 974,Brazil,350,-125,Switzerland,370,-125,Group G,
47,3,02/12/2022 19:00,Stadium 974,Serbia,350,-147,Switzerland,370,-147,Group G,
48,3,02/12/2022 19:00,Lusail Stadium,Cameroon,350,-170,Brazil,370,-170,Group G,
14,1,24/11/2022 13:00,Education City Stadium,Uruguay,350,-210,South Korea,370,-210,Group H,
15,1,24/11/2022 16:00,Stadium 974,Portugal,350,-232,Ghana,370,-232,Group H,
30,2,28/11/2022 13:00,Education City Stadium,South Korea,350,-254,Ghana,370,-254,Group H,
32,2,28/11/2022 19:00,Lusail Stadium,Portugal,350,-274,Uruguay,370,-274,Group H,
45,3,02/12/2022 15:00,Al Janoub Stadium,Ghana,350,-296,Uruguay,370,-296,Group H,
46,3,02/12/2022 15:00,Education City Stadium,South Korea,350,-317,Portugal,370,-317,Group H,
49,Round of 16,03/12/2022 15:00,TBA,1A,,,2B,,,,
50,Round of 16,03/12/2022 19:00,TBA,1C,,,2D,,,,
52,Round of 16,04/12/2022 15:00,TBA,1D,,,2C,,,,
51,Round of 16,04/12/2022 19:00,TBA,1B,,,2A,,,,
53,Round of 16,05/12/2022 15:00,TBA,1E,,,2F,,,,
54,Round of 16,05/12/2022 19:00,TBA,1G,,,2H,,,,
55,Round of 16,06/12/2022 15:00,TBA,1F,,,2E,,,,
56,Round of 16,06/12/2022 19:00,TBA,1H,,,2G,,,,
58,Quarter Finals,09/12/2022 15:00,TBA,To be announced,,,To be announced,,,,
57,Quarter Finals,09/12/2022 19:00,TBA,To be announced,,,To be announced,,,,
60,Quarter Finals,10/12/2022 15:00,TBA,To be announced,,,To be announced,,,,
59,Quarter Finals,10/12/2022 19:00,TBA,To be announced,,,To be announced,,,,
61,Semi Finals,13/12/2022 19:00,TBA,To be announced,,,To be announced,,,,
62,Semi Finals,14/12/2022 19:00,TBA,To be announced,,,To be announced,,,,
63,Finals,17/12/2022 15:00,TBA,-484,-24,-294,21.0 -292.0,53,-291,,
64,Finals,18/12/2022 15:00,TBA,To be announced,,,To be announced,,,,